,title,price,nbn,address,text,area,type,lattitude,longitude
0,"325 Balwyn Road, Balwyn North, VIC 3104 - Sale / Lease - Offices ","$868,000",Service Available - Hybrid Fibre Coaxial (HFC),"325 Balwyn Road, Balwyn North, VIC","POINT OF INTEREST:
With main road exposure and nestled amongst specialized shops flanking both sides of Balwyn Road, this unique commercial space is perfectly suited for a medical office or a professional service. Boasting glass frontage, the ground floor office is modern and functional for a range of uses — it also has the capacity to be partitioned to suit your requirements. Furthermore, there is a basement level of 80 sqm* that can be used as office space, studio storage, or to accommodate four to six cars.
Amongst a large residential catchment and subsequent high volume of traffic, the area is extremely well off, with the median house price approaching $2,000,000. Close to an abundance of amenities, and just 14 kms* to the Melbourne CBD via major arterials including Doncaster Road and the Eastern Freeway, you’re easily connected to all points of Melbourne.
- Total building area of 175 sqm*.
- Office/retail space 95sqm*
- Basement / studio 80sqm*
- Owner occupied — available vacant.
- Two car spaces at the rear of the property, plus four additional in the lower basement.
- 4.8 km* to Westfield Doncaster.
- 1.5 km* to the Eastern Freeway.
- Bus route 285 on your doorstep linking Doncaster and Camberwell.
POINT OF VIEW:
Generational wealth is strong in these parts. Case in point: a $1,900,000 median house price and a voracious desire for vacancies.
*Approx.
Pricing excludes GST",175m²,Retail,-37.7870831,145.0860459
1,"152 Junction Road, Nunawading, VIC 3131 - For Sale - Offices ",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"152 Junction Road, Nunawading, VIC","Situated within a retail strip just off Springvale Road and only seconds away from the Eastern Freeway/Eastlink this retail space would be ideal for a Self Managed Super Funds, Investors and Occupiers.
Property Features:
- Building Area: 68m2 approx.
- Land Area: 102m2 approx.
- Rear Yard and Access
- Rear Storage Shed
- Public Car Parking
- Commercail 1 Zoning
For further information or to arrange an inspection contact Appleby Real Estate today!",68m²,Retail,-37.8084123,145.17457
2,"36 Hume Road, Laverton North, VIC 3026 - Sale / Lease - Industrial ","$135,000 - $950,000",Service Available - Fibre to the curb (FTTC),"36 Hume Road, Laverton North, VIC","POINT OF INTEREST:
Redefined workspaces for businesses that demand space and lifestyle in line with their company’s values. Each of the Modus spaces have been individually designed with functionality front of mind – ensuring employees thrive in an environment that prioritises presentation, innovation, culture and morale.
- A selection of 7 different building types.
- On site café
- Areas from 34 sqm – 253 sqm
- Multipurpose Meeting facilities.
- Drive through access
- Designated car parking
- Security cameras
- Gated entry
Building Types.
- The DUX
Premium building located at the gateway of the estate comprising a high profile two level office with ancillary warehouse | Areas from 236 sqm - 253 sqm
- The HI LINE
Traditional office warehouse of unparalleled presentation and finishes. This building comprises a first floor office and adjacent warehouse with container RSD access | Areas from 106 sqm - 184 sqm
- The HYBRID CRYSTAL
Unique combination of first office and lower level designer showroom/warehouse with glass bi fold access | Areas from 83.4 sqm - 102.39 sqm
- The HYBRID STEEL
Featuring a lofty internal showroom/warehouse space with RSD access combined with a light filled full width first office that will impress | Areas from 116.58 sqm - 152.78 sqm
- The ALLROUNDER
Versatile and adaptable building that comprises a functional ground floor office and warehouse with RSD container access | Areas from 112.5 sqm - 182.94 sqm
- The KEEPSAFE
These storage units are ideal for household storage or the small business solution that also provides meeting facilities and amenities for the small business operator | Areas from 34.78 sqm - 48.75 sqm
- The TRADIE
Perfect for the busy Tradie looking for convenience and functionality. These storage units also feature paved rear yards with rear RSD, meeting facilities and amenities | Areas from 49.5 sqm - 81.95 sqm plus yard space
POINT OF VIEW:
Modus isn’t just clever spaces its where your business will start its new journey and all in the epicentre of Melbourne’s industrial and logistics precinct – which is a fitting reason for your business to call here, home.",34.78m² - 252.79m²,Offices,-37.8228013,144.7973397
3,"1311 MOUNTAIN HIGHWAY, The Basin, VIC 3154 - For Sale - Other ",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"1311 MOUNTAIN HIGHWAY, The Basin, VIC",A  rare opportunity to purchase this 2 bedroom brick unit with a retail shop attatched in this quaint village community.,160m²,Retail,-37.855859,145.315987
4,"1/30 Tank Street, Brisbane City, QLD 4000 - For Sale - Retail ",Contact Exclusive Agent,Service Available - Fibre to the building (FTTB),"30 Tank Street, Brisbane City, QLD","This inner-city cafe offers a fantastic opportunity for an owner occupier to secure this hospitality venue in a thriving commercial precinct. Well serviced by the high volume of surrounding commercial buildings, it also benefits greatly from the Kurilpa Bridge being located on its doorstep connecting the location directly to Southbank. This is a prime CBD hospitality opportunity not to be missed.
- 100m2 internal plus 22m2 alfresco area on title
- Extra footpath dining available (STCA)
- 1 Exclusive carpark included
- Full commercial kitchen with Exhaust hood and Grease trap
- Dedicated amenities , including disabled amenities
- Air conditioned throughout
- Direct access to Kurilpa Bridge (over 51,114 pedestrians this year)
- Close to new Roma Street Development (completion 2024)
- Only 200m2 from Roma Street Parklands, metres from Brisbane courts
Please call Exclusive Agent Chris Esdale for further information and to schedule your inspection.",122m²,Other,-27.4682749,153.0195868
5,"Lot 104/125 Melbourne Street, South Brisbane, QLD 4101 - For Sale - Retail - ID: 351510",Offers Over $1.1M,Not Currently Available,"125 Melbourne Street, South Brisbane, QLD","KEEN SELLER
An opportunity to purchase a leased restaurant in the heart of South Brisbane. It is located on the corner of Melbourne and Cordelia Street offering great exposure and signage to oncoming traffic at a busy intersection. It features:
- 94m2 plus 50m2 covered deck area
- Leased for 5 years with a 5 year option
- Open plan dining area with outdoor covered seating
- Full kitchen (restaurant fit out) with grease trap / exhaust
- Zoned QPP-PC1 - Principal Centre (City Centre)
- Corner exposure offering great signage opportunities
South Brisbane is a bustling inner-city location of Brisbane. Located only 1km from Brisbane CBD this area has undergone significant change in recent times with developments improving capital growth. This shop is located at the doorstep to Brisbane's premier entertainment, cultural and education precincts. Just a short distance to the Brisbane Convention and Exhibition Centre, and surrounded by multiple training facilities as well as the local amenities that South bank has to offer.
Please call the Exclusive Marketing Agent Geoff Esdale for further information and to schedule your inspection.",144m²,NaN,-27.4753752,153.0152499
6,"8 Industrial Avenue, Hoppers Crossing, VIC 3029 - For Sale - Industrial - ID: 382291",N/A,Not Currently Available,"8 Industrial Avenue, Hoppers Crossing, VIC","POINT OF INTEREST:
Located just 2 km from the Princes Freeway, with direct access to Old Geelong Road this newly built selection of five modern warehouses with flexible mezzanine spaces could be the key to your business for years to come. These yet to be occupied, brand new units offer something that is hard to find in the current market of Melbourne’s booming Western Suburbs – 8 Industrial Avenue raises the benchmark for quality and accessibility, a modern façade with potential corporate office area, container height roller shutter door for full vehicle access and four carparks per unit. With secure gated entry, this boutique warehouse complex offers everything you need to take your business to the next level. Whether you’re an owner occupier or investor alike, this flexible warehouse facility acts as the perfect headquarters for whatever your business caters.
High quality warehouses + mezzanines.
Choice of 3 units - 2 with vacant possession
1 investment sale available
Building areas of 191 sqm* per unit.
Potential for office fit-out.
Three-phase power
Four car spaces per unit.
Easy truck access.
Flexible Vendor Terms - 5% Deposit Available
Smart storage solutions for surrounding local business.
Abutting Old Geelong Road “Golden Mile”.
POINT OF VIEW:
It’s clear to see why things are booming in the west. And from this space, you’ll have a clear run and view of it all the way down the Princes Freeway.
*Approx.
Pricing excludes GST",191m²,NaN,-37.869388,144.725677
7,"36/198 Adelaide Street, Brisbane City, QLD 4000 - For Sale - Retail ",CONTACT AGENT,Not Currently Available,"198 Adelaide Street, Brisbane City, QLD","* 120m2 plus lockable storage area
* Multiple large glass display windows
* Open plan retail space
* Suitable for a variety of businesses
* Highly visible tenancy within the arcade
* Excellent location positioned at the top of the escalators
An opportunity to purchase this well positioned 120m2 strata shop plus lockable storage area in the heart of Brisbane's' CBD. Located within the iconic heritage listed Anzac Square Arcade, the strata experiences high foot traffic on a daily basis.
Surrounded by a selection of retailers and professionals the strata is well placed for a variety of different businesses. Suitable for an owner occupier or an investor to lease and hold.
Please call Chris Esdale for further information and to schedule your inspection.",120m²,Medical,-27.4671887,153.0263743
8,"5/924 Pacific Highway, Gordon, NSW 2072 - For Sale - Offices ","$950,000",Service Available - Fibre to the building (FTTB),"924 Pacific Highway, Gordon, NSW","Located on the corner of Ryde Road & Pacific Highway, this A-Grade building has excellent facilities, a roof-top BBQ area/entertaining terrace, it is convenient to public transport options and has easy access to arterial roads. Don't miss out on this fantastic opportunity to join a building full of professional users! The suite comprises:
* Suite 5 - 144 sqm
* Partitioned and open plan spaces
* 5 secure car spaces
* Shared amenities
* On-site restaurant
* Short walk to train station and Gordon Centre
* Well-presented and meticulously maintained property
For more information or to arrange an inspection, contact Zarko Mijic 0401 010 196",144m²,Medical,-33.7517719,151.1469648
9,"2B Webb Street, Warrandyte, VIC 3113 - For Sale - Other ",Contact Agent,Service Available - Fibre to the curb (FTTC),"Webb Street, Warrandyte, VIC","Appleby Real Estate is pleased to offer for sale 2B Webb Street, Warrandyte a shop/office which presents in excellent condition.  The vibrant Warrandyte shopping precinct has plenty to offer and a great mix of commercial businesses.
This is an excellent opportunity for an owner occupier to start their own business in a great location and in a well-appointed shop.  The property will also suit investors looking to enter the commercial investment market.
Key features of the property include:
- Size: 54 square metres
- On site car parking
- Excellent Location
- Modern fit out",54m²,Offices,-37.745726,145.2243381
